route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
4,2024_08_12-DX-MVS-Weekday-001,1561135,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561078,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561136,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561079,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561137,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561080,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561138,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561081,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561139,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561082,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561140,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561083,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561141,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561084,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561142,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561085,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561143,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561086,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561144,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561087,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561145,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561088,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561146,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561089,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561148,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561090,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561149,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561091,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561150,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561092,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561147,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561093,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561151,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561094,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561152,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561095,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561153,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561096,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561154,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561097,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561155,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561098,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561156,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561099,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561157,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561102,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561158,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561100,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561159,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561103,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561160,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561104,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561161,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561101,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561162,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561105,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561163,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561106,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561164,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561107,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561165,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561108,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561166,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561109,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561167,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561110,"OAK Airport / Richmond",0,,003C_shp,,0,0
4,2024_08_12-DX-MVS-Weekday-001,1561168,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,0,0
3,2024_08_12-DX-MVS-Weekday-001,1561111,"OAK Airport / Richmond",0,,003C_shp,,0,0
